,tweet_text,label,cleaned_tweet,tokens,stopwords_tokens,stemmed_tokens,lemmatized_tokens
10,"Having been through both #COVID19 and had the #OxfordAstraZeneca #vaccine, I can tell you, I would rather have two days of a bit of a temperature and fatigue, than the two weeks of raging fever, oxygen depletion and worrying if you will make it.

#GetVaccinated #OxfordAstraZeneca",1,"having been through both  and had the   i can tell you i would rather have two days of a bit of a temperature and fatigue than the two weeks of raging fever oxygen depletion and worrying if you will make it

 ","['having', 'been', 'through', 'both', 'and', 'had', 'the', 'i', 'can', 'tell', 'you', 'i', 'would', 'rather', 'have', 'two', 'days', 'of', 'a', 'bit', 'of', 'a', 'temperature', 'and', 'fatigue', 'than', 'the', 'two', 'weeks', 'of', 'raging', 'fever', 'oxygen', 'depletion', 'and', 'worrying', 'if', 'you', 'will', 'make', 'it']","['tell', 'would', 'rather', 'two', 'days', 'bit', 'temperature', 'fatigue', 'two', 'weeks', 'raging', 'fever', 'oxygen', 'depletion', 'worrying', 'make']","['tell', 'would', 'rather', 'two', 'day', 'bit', 'temperatur', 'fatigu', 'two', 'week', 'rage', 'fever', 'oxygen', 'deplet', 'worri', 'make']","['tell', 'would', 'rather', 'two', 'day', 'bit', 'temperature', 'fatigue', 'two', 'week', 'raging', 'fever', 'oxygen', 'depletion', 'worrying', 'make']"
11,"Just for the record:
When someone dies by kovid is a tremendous news, but when someone dies or has collateral effects after being vaxeenated it's a coincidence. Wow! Media think we're dumbs.

#PanavaC19 #vaxeen #astrazeneca #pfizer #moderna #sputnikV #BigPharma #MINSAPanama",0,"just for the record
when someone dies by kovid is a tremendous news but when someone dies or has collateral effects after being vaxeenated its a coincidence wow media think were dumbs

       ","['just', 'for', 'the', 'record', 'when', 'someone', 'dies', 'by', 'kovid', 'is', 'a', 'tremendous', 'news', 'but', 'when', 'someone', 'dies', 'or', 'has', 'collateral', 'effects', 'after', 'being', 'vaxeenated', 'its', 'a', 'coincidence', 'wow', 'media', 'think', 'were', 'dumbs']","['record', 'someone', 'dies', 'kovid', 'tremendous', 'news', 'someone', 'dies', 'collateral', 'effects', 'vaxeenated', 'coincidence', 'wow', 'media', 'think', 'dumbs']","['record', 'someon', 'die', 'kovid', 'tremend', 'news', 'someon', 'die', 'collater', 'effect', 'vaxeen', 'coincid', 'wow', 'media', 'think', 'dumb']","['record', 'someone', 'dy', 'kovid', 'tremendous', 'news', 'someone', 'dy', 'collateral', 'effect', 'vaxeenated', 'coincidence', 'wow', 'medium', 'think', 'dumbs']"
12,Got the first vaccine yay! It gave me pink eye ? #vaccine #vaccinehesitancy now I donEEt want the second dose #Moderna,0,got the first vaccine yay it gave me pink eye    now i doneet want the second dose ,"['got', 'the', 'first', 'vaccine', 'yay', 'it', 'gave', 'me', 'pink', 'eye', 'now', 'i', 'doneet', 'want', 'the', 'second', 'dose']","['got', 'first', 'vaccine', 'yay', 'gave', 'pink', 'eye', 'doneet', 'want', 'second', 'dose']","['got', 'first', 'vaccin', 'yay', 'gave', 'pink', 'eye', 'doneet', 'want', 'second', 'dose']","['got', 'first', 'vaccine', 'yay', 'gave', 'pink', 'eye', 'doneet', 'want', 'second', 'dose']"
13,@PMOIndia @narendramodi @drharshvardhan #covaxin #CovishieldVaccine After taking the vaccines ppl are getting infected within 10 days even after wearing masks. Many of my relatives are infected severely and admitted into hospital. What is the use of such vaccines. vax is causing more cases,0,     after taking the vaccines ppl are getting infected within  days even after wearing masks many of my relatives are infected severely and admitted into hospital what is the use of such vaccines vax is causing more cases,"['after', 'taking', 'the', 'vaccines', 'ppl', 'are', 'getting', 'infected', 'within', 'days', 'even', 'after', 'wearing', 'masks', 'many', 'of', 'my', 'relatives', 'are', 'infected', 'severely', 'and', 'admitted', 'into', 'hospital', 'what', 'is', 'the', 'use', 'of', 'such', 'vaccines', 'vax', 'is', 'causing', 'more', 'cases']","['taking', 'vaccines', 'ppl', 'getting', 'infected', 'within', 'days', 'even', 'wearing', 'masks', 'many', 'relatives', 'infected', 'severely', 'admitted', 'hospital', 'use', 'vaccines', 'vax', 'causing', 'cases']","['take', 'vaccin', 'ppl', 'get', 'infect', 'within', 'day', 'even', 'wear', 'mask', 'mani', 'rel', 'infect', 'sever', 'admit', 'hospit', 'use', 'vaccin', 'vax', 'caus', 'case']","['taking', 'vaccine', 'ppl', 'getting', 'infected', 'within', 'day', 'even', 'wearing', 'mask', 'many', 'relative', 'infected', 'severely', 'admitted', 'hospital', 'use', 'vaccine', 'vax', 'causing', 'case']"
14,"#Vaccine #CDC #FAUCI #WHO #Moderna #Pfizer #JohnsonAndJohnsonVaccine  The vaccine is experiential. Only complete dipshits will blindly trust big pharma.. the same people killed mothers, sisters and daughters with their baby powders and then lied about it.",0,        the vaccine is experiential only complete dipshits will blindly trust big pharma the same people killed mothers sisters and daughters with their baby powders and then lied about it,"['the', 'vaccine', 'is', 'experiential', 'only', 'complete', 'dipshits', 'will', 'blindly', 'trust', 'big', 'pharma', 'the', 'same', 'people', 'killed', 'mothers', 'sisters', 'and', 'daughters', 'with', 'their', 'baby', 'powders', 'and', 'then', 'lied', 'about', 'it']","['vaccine', 'experiential', 'complete', 'dipshits', 'blindly', 'trust', 'big', 'pharma', 'people', 'killed', 'mothers', 'sisters', 'daughters', 'baby', 'powders', 'lied']","['vaccin', 'experienti', 'complet', 'dipshit', 'blindli', 'trust', 'big', 'pharma', 'peopl', 'kill', 'mother', 'sister', 'daughter', 'babi', 'powder', 'lie']","['vaccine', 'experiential', 'complete', 'dipshits', 'blindly', 'trust', 'big', 'pharma', 'people', 'killed', 'mother', 'sister', 'daughter', 'baby', 'powder', 'lied']"
15,"#LargestVaccineDrive
#Unite2FightCorona

Got my #FirstDose of #Covaxin 
 #COVIDVaccine. I encourage all eligible citizens to come forward and get vaccinated . (Yes i am eligible for vaccination) https://t.co/sEZEISHiIx",1,"


got my  of  
  i encourage all eligible citizens to come forward and get vaccinated  yes i am eligible for vaccination ","['got', 'my', 'of', 'i', 'encourage', 'all', 'eligible', 'citizens', 'to', 'come', 'forward', 'and', 'get', 'vaccinated', 'yes', 'i', 'am', 'eligible', 'for', 'vaccination']","['got', 'encourage', 'eligible', 'citizens', 'come', 'forward', 'get', 'vaccinated', 'yes', 'eligible', 'vaccination']","['got', 'encourag', 'elig', 'citizen', 'come', 'forward', 'get', 'vaccin', 'ye', 'elig', 'vaccin']","['got', 'encourage', 'eligible', 'citizen', 'come', 'forward', 'get', 'vaccinated', 'yes', 'eligible', 'vaccination']"
16,"Can Someone PLS fact check the rumour that allegedly had some BJMP people got injected with #Sinovac and they died? Thanks 
@PhilstarNews @DOHgovph  @lenirobredo @vicegandako @VicoSotto",0,"can someone pls fact check the rumour that allegedly had some bjmp people got injected with  and they died thanks 
     ","['can', 'someone', 'pls', 'fact', 'check', 'the', 'rumour', 'that', 'allegedly', 'had', 'some', 'bjmp', 'people', 'got', 'injected', 'with', 'and', 'they', 'died', 'thanks']","['someone', 'pls', 'fact', 'check', 'rumour', 'allegedly', 'bjmp', 'people', 'got', 'injected', 'died', 'thanks']","['someon', 'pl', 'fact', 'check', 'rumour', 'allegedli', 'bjmp', 'peopl', 'got', 'inject', 'die', 'thank']","['someone', 'pls', 'fact', 'check', 'rumour', 'allegedly', 'bjmp', 'people', 'got', 'injected', 'died', 'thanks']"
17,"Get vaccinated! ??
#ResBakuna
#Sinovac
#Sasageyo ! https://t.co/vBoGwBpUdd",1,"get vaccinated 


  ","['get', 'vaccinated']","['get', 'vaccinated']","['get', 'vaccin']","['get', 'vaccinated']"
18,"For safety of everyone in my orbitEEI, my loved ones, &amp; strangers who walk by me outsideEEtoday I got #pfizerbiontech #CovidVaccine.

#VaccinesWork but take time; pls do #maskup, #socialdistancing, #handhygiene &amp; if possible #StayAtHome during this #COVID19 #PublicHealth emergency. https://t.co/vtGeVwXdWe",1,"for safety of everyone in my orbiteei my loved ones amp strangers who walk by me outsideeetoday i got  

 but take time pls do    amp if possible  during this   emergency ","['for', 'safety', 'of', 'everyone', 'in', 'my', 'orbiteei', 'my', 'loved', 'ones', 'amp', 'strangers', 'who', 'walk', 'by', 'me', 'outsideeetoday', 'i', 'got', 'but', 'take', 'time', 'pls', 'do', 'amp', 'if', 'possible', 'during', 'this', 'emergency']","['safety', 'everyone', 'orbiteei', 'loved', 'ones', 'amp', 'strangers', 'walk', 'outsideeetoday', 'got', 'take', 'time', 'pls', 'amp', 'possible', 'emergency']","['safeti', 'everyon', 'orbiteei', 'love', 'one', 'amp', 'stranger', 'walk', 'outsideeetoday', 'got', 'take', 'time', 'pl', 'amp', 'possibl', 'emerg']","['safety', 'everyone', 'orbiteei', 'loved', 'one', 'amp', 'stranger', 'walk', 'outsideeetoday', 'got', 'take', 'time', 'pls', 'amp', 'possible', 'emergency']"
19,Just got my first #moderna vaccine shot today. It's been about 3 hours and I'm feeling completely normal.,1,just got my first  vaccine shot today its been about  hours and im feeling completely normal,"['just', 'got', 'my', 'first', 'vaccine', 'shot', 'today', 'its', 'been', 'about', 'hours', 'and', 'im', 'feeling', 'completely', 'normal']","['got', 'first', 'vaccine', 'shot', 'today', 'hours', 'im', 'feeling', 'completely', 'normal']","['got', 'first', 'vaccin', 'shot', 'today', 'hour', 'im', 'feel', 'complet', 'normal']","['got', 'first', 'vaccine', 'shot', 'today', 'hour', 'im', 'feeling', 'completely', 'normal']"
20,"Jim Bussel in NYTimes ""Few Covid Vaccine Recipients Developed ITP"" #Moderna #Pfizer #platelets
 https://t.co/4QYOP7P3xI",0,"jim bussel in nytimes few covid vaccine recipients developed itp   
 ","['jim', 'bussel', 'in', 'nytimes', 'few', 'covid', 'vaccine', 'recipients', 'developed', 'itp']","['jim', 'bussel', 'nytimes', 'covid', 'vaccine', 'recipients', 'developed', 'itp']","['jim', 'bussel', 'nytim', 'covid', 'vaccin', 'recipi', 'develop', 'itp']","['jim', 'bussel', 'nytimes', 'covid', 'vaccine', 'recipient', 'developed', 'itp']"
21,"Always said ""they rushed the vaccine"" but no, I trusted the scientists and let them inject the shit in, and now if I get a second one it might kill me. Fuck that shit. Fuck that noise. Fuck maybe that's why I feel so off atm, maybe I have blood clots.
#oxfordastrazeneca murderers",0,"always said they rushed the vaccine but no i trusted the scientists and let them inject the shit in and now if i get a second one it might kill me fuck that shit fuck that noise fuck maybe thats why i feel so off atm maybe i have blood clots
 murderers","['always', 'said', 'they', 'rushed', 'the', 'vaccine', 'but', 'no', 'i', 'trusted', 'the', 'scientists', 'and', 'let', 'them', 'inject', 'the', 'shit', 'in', 'and', 'now', 'if', 'i', 'get', 'a', 'second', 'one', 'it', 'might', 'kill', 'me', 'fuck', 'that', 'shit', 'fuck', 'that', 'noise', 'fuck', 'maybe', 'thats', 'why', 'i', 'feel', 'so', 'off', 'atm', 'maybe', 'i', 'have', 'blood', 'clots', 'murderers']","['always', 'said', 'rushed', 'vaccine', 'trusted', 'scientists', 'let', 'inject', 'shit', 'get', 'second', 'one', 'might', 'kill', 'fuck', 'shit', 'fuck', 'noise', 'fuck', 'maybe', 'thats', 'feel', 'atm', 'maybe', 'blood', 'clots', 'murderers']","['alway', 'said', 'rush', 'vaccin', 'trust', 'scientist', 'let', 'inject', 'shit', 'get', 'second', 'one', 'might', 'kill', 'fuck', 'shit', 'fuck', 'nois', 'fuck', 'mayb', 'that', 'feel', 'atm', 'mayb', 'blood', 'clot', 'murder']","['always', 'said', 'rushed', 'vaccine', 'trusted', 'scientist', 'let', 'inject', 'shit', 'get', 'second', 'one', 'might', 'kill', 'fuck', 'shit', 'fuck', 'noise', 'fuck', 'maybe', 'thats', 'feel', 'atm', 'maybe', 'blood', 'clot', 'murderer']"
22,"#Russia has provided for free technological transfer of its technology to produce @sputnikvaccine's #SputnikV #vaccine to more than 10 countries. Unlike some others, Sputnik V believes in true partnership with many countries on vaccine production. https://t.co/1m14Upi3X6",1, has provided for free technological transfer of its technology to produce s   to more than  countries unlike some others sputnik v believes in true partnership with many countries on vaccine production ,"['has', 'provided', 'for', 'free', 'technological', 'transfer', 'of', 'its', 'technology', 'to', 'produce', 's', 'to', 'more', 'than', 'countries', 'unlike', 'some', 'others', 'sputnik', 'v', 'believes', 'in', 'true', 'partnership', 'with', 'many', 'countries', 'on', 'vaccine', 'production']","['provided', 'free', 'technological', 'transfer', 'technology', 'produce', 'countries', 'unlike', 'others', 'sputnik', 'v', 'believes', 'true', 'partnership', 'many', 'countries', 'vaccine', 'production']","['provid', 'free', 'technolog', 'transfer', 'technolog', 'produc', 'countri', 'unlik', 'other', 'sputnik', 'v', 'believ', 'true', 'partnership', 'mani', 'countri', 'vaccin', 'product']","['provided', 'free', 'technological', 'transfer', 'technology', 'produce', 'country', 'unlike', 'others', 'sputnik', 'v', 'belief', 'true', 'partnership', 'many', 'country', 'vaccine', 'production']"
23,"Another 4 people in #HongKong fell ill, 2 had to be put in intensive care after receiving Chinese vaccine #Sinovac shots, one of them, a 80-yr-old man is in critical condition
There are total 15 ppl have sought medical attention after receiving the vaccines over the past week. https://t.co/fLH9i4X37D https://t.co/kKEWEXvKGd",0,"another  people in  fell ill  had to be put in intensive care after receiving chinese vaccine  shots one of them a yrold man is in critical condition
there are total  ppl have sought medical attention after receiving the vaccines over the past week  ","['another', 'people', 'in', 'fell', 'ill', 'had', 'to', 'be', 'put', 'in', 'intensive', 'care', 'after', 'receiving', 'chinese', 'vaccine', 'shots', 'one', 'of', 'them', 'a', 'yrold', 'man', 'is', 'in', 'critical', 'condition', 'there', 'are', 'total', 'ppl', 'have', 'sought', 'medical', 'attention', 'after', 'receiving', 'the', 'vaccines', 'over', 'the', 'past', 'week']","['another', 'people', 'fell', 'ill', 'put', 'intensive', 'care', 'receiving', 'chinese', 'vaccine', 'shots', 'one', 'yrold', 'man', 'critical', 'condition', 'total', 'ppl', 'sought', 'medical', 'attention', 'receiving', 'vaccines', 'past', 'week']","['anoth', 'peopl', 'fell', 'ill', 'put', 'intens', 'care', 'receiv', 'chines', 'vaccin', 'shot', 'one', 'yrold', 'man', 'critic', 'condit', 'total', 'ppl', 'sought', 'medic', 'attent', 'receiv', 'vaccin', 'past', 'week']","['another', 'people', 'fell', 'ill', 'put', 'intensive', 'care', 'receiving', 'chinese', 'vaccine', 'shot', 'one', 'yrold', 'man', 'critical', 'condition', 'total', 'ppl', 'sought', 'medical', 'attention', 'receiving', 'vaccine', 'past', 'week']"
24,#Uruguay on Tuesday received a new batch of CoronaVac #vaccines from Chinese pharmaceutical firm #Sinovac along with epidemic prevention materials donated by China to bolster its immunization drive against #COVID19. https://t.co/rV4LcCmyan,1, on tuesday received a new batch of coronavac  from chinese pharmaceutical firm  along with epidemic prevention materials donated by china to bolster its immunization drive against  ,"['on', 'tuesday', 'received', 'a', 'new', 'batch', 'of', 'coronavac', 'from', 'chinese', 'pharmaceutical', 'firm', 'along', 'with', 'epidemic', 'prevention', 'materials', 'donated', 'by', 'china', 'to', 'bolster', 'its', 'immunization', 'drive', 'against']","['tuesday', 'received', 'new', 'batch', 'coronavac', 'chinese', 'pharmaceutical', 'firm', 'along', 'epidemic', 'prevention', 'materials', 'donated', 'china', 'bolster', 'immunization', 'drive']","['tuesday', 'receiv', 'new', 'batch', 'coronavac', 'chines', 'pharmaceut', 'firm', 'along', 'epidem', 'prevent', 'materi', 'donat', 'china', 'bolster', 'immun', 'drive']","['tuesday', 'received', 'new', 'batch', 'coronavac', 'chinese', 'pharmaceutical', 'firm', 'along', 'epidemic', 'prevention', 'material', 'donated', 'china', 'bolster', 'immunization', 'drive']"
25,"#SKEPTICAL then consider, why is #Pfizer vaccine not suspended?

#Pfizer vaccine is linked to more deaths then #OxfordAstraZeneca, so in principle #EuropeanUnion should have suspended #Pfizer rollout, so why not?

#LivesMatter #FactsMatter #TruthMatters 

https://t.co/sRHb9pGycw",0," then consider why is  vaccine not suspended

 vaccine is linked to more deaths then  so in principle  should have suspended  rollout so why not

   

","['then', 'consider', 'why', 'is', 'vaccine', 'not', 'suspended', 'vaccine', 'is', 'linked', 'to', 'more', 'deaths', 'then', 'so', 'in', 'principle', 'should', 'have', 'suspended', 'rollout', 'so', 'why', 'not']","['consider', 'vaccine', 'suspended', 'vaccine', 'linked', 'deaths', 'principle', 'suspended', 'rollout']","['consid', 'vaccin', 'suspend', 'vaccin', 'link', 'death', 'principl', 'suspend', 'rollout']","['consider', 'vaccine', 'suspended', 'vaccine', 'linked', 'death', 'principle', 'suspended', 'rollout']"
