,label,cleaned_tweet
84,0, must to learn what is the funcieen of  vaccine to   because she said the vaccine has part of the corona of the virus and it is not truth    v      must to read the truth about it  
85,0, assad and his wife now have covid  looks like  is very ineffective
86,1,     sputnikv is safe and effective can we get that vaccine approved in canada and speed up this vaccination process          
87,1,team  where you at  
88,1," days post vaccination  still no side effects felt 
   
 "
89,1,"where my moderna gang at 

  "
90,0,nothing like finding out the vaccine youeeve had and been suffering with isneet effective against the new s africa variant  
91,1,today i received my second dose of  covid vaccine thank you i feel great   
92,0,official who source website states now over  adverse reactions  adrees   after receiving the jab review yourself         looks like its not that safe especially for the elderly  
93,0,i think ieem getting better but then it comes back around with the headaches and muscle aches 
94,1, moscow russia putin everything is open business as usual ontario canada reporting  cases of   new cases in toronto  closed business church no family no hope  canada get out of syria   effective 
95,1,st round of  done thank you volunteers health personnel and of course   
96,1,and moderna  is in my arm   
97,1,just had the vaccine im in the club now    
98,0,"amid concerns over dangerous sideeffects of the  oxford   is evaluating all serious adverse events postvaccination to determine the causality aspects of  and  
   "
99,1, wheres  it has over   than  and has  deaths
100,1, just get the  and be done with it   will crumble anywayis an impotent piece of bureaucracy  vaccine is not political   
101,1,moscow  everything is open business as usual ontario canada is reporting  cases of    new cases in toronto  closed business church no family no hope  canada get out of syria   effective 
102,0," vaccine causing blood clot in   

the vaccine rollout has been put    please send me the  vaccine  "
103,1,great thread to explain the nd dose extension concerns thanks dr saxinger        
104,0,ieem up at am wondering if anyone else has experienced insomnia as a result of the vaccine  ieem usually yawning by pm and asleep shortly thereafter ieem wide awake   i like to get up at am but i haveneet slept yet    
105,0,so they are suspending use of the   shot and are steering people into the  or  products hmmseems to me those two are using the never before used  technology gee i sure would look into what mrna does when injected into a human
106,0,"a health worker in alaska has severe reaction to pfizer vaccine 
 
 
 
 
 
 
 
 
"
107,1,"two doses is even better than one  grateful for   amp  

    "
108,0, not to worry carl my second shot of  went easier than the first when i had a painful arm for several days no one i know got sick from the moderna shot
109,1, i finally got my  of the  today amp im honored   boy am i lucky or what amp  amp  too  yep all that amp more  amp  all the time right 
110,1,"i am vaccinated 
 
 "
111,0,"poll on most favourite   in   takeaways  nonregistered  nd most popular why am i not surprised  worryingly looks like barely  actually want a jab shattered
source dennik n focus markiza "
112,1,nd vaccine  i am happy to have completed my doses hopefully this pandemic will soon be behind us     florida international university 
113,1,i really hope to get my second dose of  vaccine this week from a jabber 
114,0,  thats what even chilean authorities are wondering my friend admit that  is crap has no more chances to cover you than a shamans craft
115,0," ema starts rolling review of  

a rolling review speeds up market authorisation while not all documents have been provided in other words gamaleya ncem  has not provided full transparency yet 
"
116,0,second dose of  is kicking my ass  arm hurts like hell fever sweats headache teeth pain and nausea  this is not fun  
117,0,ieem going to report this to  but for the  people that read my tweets i got  all over my body exactly  hours after my first  from   not   but all over  especially around my joints  seems to be helping
118,1,"so grateful to the amazing   for my  a few weeks ago 

grateful to the  for their care and for making it a smooth and pleasant experience

 

   

  "
119,0,"  none of them are experts on covid the so called vaccine is not a vaccine it is a synthetic pathogen and will kill masses of people in years to come
who will take responsibility for this you ms wong     "
120,1,i had my   today which i am really grateful for i have got the side effects pretty heavy they started at am while i was at work i had my vaccine at am all side effects that were advised in the leaflet but also others
121,1,first dosis of  weirdly emotional moment 
122,0,i got  yesterday due to social pressure my arm hurts like a btch   
123,1, thank you  from me and the folks that wont get sick because you are getting   i got the   too  both shots
124,0,more negative news on the covid vaccine  
125,0,"is anyone surprised that the vaccine thats still in the trial phase is somehow less popular than the fully approved vaccine which has some data behind it

the governments rush to roll out   is a goddamn embarrassment in a sea of similarly ghastly strategies "
126,0,no lie this second vaccine is trying to take me down  fever body aches sore arm headache fatigue  
127,0,"  it is what it is you dont like it youll end up with nothing

get the vaccine you get to travel

you cant fight these secret societies that exist what you can do is betray them by getting one vaccine they dont want you to get "
128,1, looking at ways of  national registration ee government source 
129,0, hit me about hrs after the shot wicked arm and joint pain upset stomach amp bowels headache amp fatigue sore breasts  i have a few chronic health issues and it seems like it elevated them my arm amp stomach are better today but im tired amp have a headache 
130,0,why did the cdcfda pause jampj with  vaers reports of thrombosis but there  cases for  and  for   
131,0,"another one died in  after taking chinamade  vaccine 
eethe death is not related to the vaccineee eeexpertsee made the same comments for the th time in  weeks without coronerees autopsy reports

  "
132,1,   actually w   itees just messenger rna some lipids to help facilitate a membrane and some acetic acid to help balance ph
133,0,remember people everything they do is usually spelled out in plain sight all you have to do is look awareness will set you free     
134,0,another  vaccine shot leads to woman swelling up all over but they say vaccines are safe         
135,1,   said earlier this month that  and   could receive who emergency listing quite soon
136,0,"  
healthcare workers unconvinced about bharat biotechs covaxin



"
137,0,ieeve been lying in bed all day   
138,0,"a thread on moderna vaccine 
a  year old female recipient 
   "
139,0,"  people out of  million  have mild  side effects
thats rounded up in percent  just 
thats a awesome number

check out other 
deaths and blood clots
if i have to choose it will be covaxin
ocgn"
140,0,professor martin marshall you talk utter bollocks the majority of people areeent happy to take the poison jab tell that to the families who have vaccine damaged relatives or worse    
141,0,dang this  shot is trippy
142,1,got that  in me 
143,1," approves   vaccine 
 "
144,1,"got my nd shot    
now where is my shot of tequila 
   chicago illinois "
145,0,"  and more dead people down south too hundreds more since vaccinations started in uk ni all unnecessary
 and  all available but we will not order them in case we offend our eu masters"
146,0,"referring  it as a vaccine is liesmisinfo

its not a vaccine 

its an experimental dnaaltering nanoparticle amp peg containing w ade nonlicensednonfda approved female infertilitycausing drug

         "
147,0,"dad got his nd dose of  at  today 
very low crowd for nd dose nurses were upfront in admitting that doses were being wasted due to lower numbers of people amp their own inability to vaccinate many on an age basis they themselves werent vaccinated   "
148,0,who is eating alone today because doug ford and mr trudeau toronto ontario canada forced you to stay home  no family no business no church lent no hope until jab unproven vaccine  order russia  get out of syria  
149,1,"mom and i are vaccinated 

dose  of  done thank you  for the vaccine rollout for   im so grateful

cold shoulder tops were made for getting vaccines 

    "
150,1,"  starts  production 

rdif amp institute of virology vaccines and sera eetorlakee join forces to bring more sputnik v vaccines to the world  "
151,0,a week tomorrow my son received his nd vaccine still has a sore arm temp is gone and body aches are slowly disappearing he said the aches were the worst 
152,1,"       people with a blood clot out of how many have had the oxford jab theres a risk in everything my mum has had the oxford jab shes  and is ok with it




astrazeneca"
153,1,i am so happy i got my second    over a month ago  
154,0,"and while were at the topic of transparency when would s  phase  trial data appear in peer review publication it may be on its way it may be getting peer reviewed as i write this tweet
but s total silence about it is not comforting"
155,0,"covid norway investigates  deaths in frail elderly patients after vaccination   
"
156,0,"a new lab study shows troubling signs that  and   shots could be far less effective against the variant first found in south africa 

 "
157,0, experts say pfizer vaccine needs to be stored under very very cold conditions amp we lack such storing technology and cd be very expensive thus the nd for help from all weather friends         
158,0,"   as  elderly people died in  after receiving   vaccine experts in india have underlined the need to closely monitor adverse events as a massive  drive kicked off in the country
  
"
159,0,"vaccine associated selfie disorder vasd 
      "
160,0,"a fifth covid vaccine has been approved in pakistan chinaees sinovac shot called coronavac it has an efficacy of 
  
"
161,1,"hello my dear fintwit family i got my covid vaccine first dose today   

who all are invested in mrna  "
162,1,nd shot in and done  looking forward to getting back to normal       cfsb center 
163,0, while  countries have suspended astrazeneca vaccine embarrassing justin  and doug ford says ontario canada has determined astrazeneca is safe and effective  get out of    order russia  end toronto  
164,0,"            and the facts remain 
 is being used in india right now
 has no phase  trial data 
 phase  data is expected in march 
 remains steeped in controversy in its home country because the govt approved eua wo any phase  trial data"
165,1,"got my vaccine today and ieem feeling ok  
ready to see how day  goes   
 "
166,0,"a  vaccine centre in  had significant noshow after news broke that one man died after getting the  vaccine
"
167,1,my mum has just come back from the  where she got her first dose of the  covid vaccine ieem so so happy for her 
168,0,"vaccine update my arm is sore as fuck a little nausea sore shoulders neck and head well see what tomorrow brings
"
169,0,the    has abruptly changed its  over use of the   warning that people aged  should be offered alternative jabs 
170,1, nd  scheduled for thursday happy to get in line
171,1,vaccinated  
172,1,"ocgn i caneet wait for this vaccine to be available in the us   

"
173,1, safety first           healthforall   led  to      who  
174,1," welcomes jampj vaccine approval in the us this is also another validation of sputnik v pioneering technology as jampj vaccine is essentially a first shot of sputnik v vaccine ad  human adenoviral vector 

"
175,1, got my second one today  
176,0,had the az vaccine on saturday totally wiped out on sunday and now with all children back in school every where is so sore and arm is painful any one had the same  
177,0,"  vaccines all inefficient on circulating south african variants
source  
ivermectin in global people preventive treatement would be best and cheap
source  
      "
178,1,"the vaccine has proved  effective against covid based on latestage trials in russia results published in the lancet medical journal showed 

    

"
179,1,"wow the moderna vaccine is now available in the uk just on the news that the first patients have been given the jab 
so now we have  available
   "
180,1,i keep hearing the phrase abundance of caution being used in reference to countries pausing rollout of   but is it really caution isnt it actually reckless to expose your population to  unnecessarily data needed or carry on vaccinating
181,0,the problems with oxfordastrazenecaees vaccine continue this is not going to end well   
182,1,had my first vaccine yesterday  and no side effects whatsoever 
183,0," has ceased giving the  covid  amid concerns about rare cases of blood clots the first  country to do so fully
the move is expected to delay the countrys vaccination programme by several weeks "
184,0, sputnik v  is not internationally approved  why are you misleading people have you been  paid to push this   even vladimir putin himself did not take sputnik v vaccine its efficacy amp safety not confirmed
185,0,itees just that am not feeling safe at  with   or  regarding side effects in the distant future cytokine syndrome etc  i would rather have a more classical vaccine like astra zeneca sputnik v and others are also using a more classical approach
186,1,shots shots shots the entire norton family will be fully vaccinated by may st and i am so happy   
187,0,"  vax is an      
gonna be fun watching the vaccinated realise what they let themselves in for anyone heard of the uninterruptable autopilot  "
188,0, sure  has given me horrible tinnitus  not saying it would happen to anyone else but 
189,1,"special to   for   to  including the   colleges system speaking about her pivotal role in the development    

 courtesy of my  "
190,1,this is good news we have total confidence in the  vaccine but adding this to our arsenal against  gives us options for patients and will improve supply of vaccines into our hubs    
191,0,the  amp    can cause lymph nodes to swell notably those in the armpit on the side where the shot was received some women are feeling these armpit lymph nodes amp mistaking them for breast lumps writes 
192,1, agreed amp the only thing i know for certain is want the  vaccinebut cant get it y not approved in  other countries  exasperating beyond belief   fiasco  
193,1," to start  from today it has according to latest figures maximum  cases over  million and deaths  last count  the  drive will start from today dec  with   
"
194,1,guess who got vaccinated  shot  out of    
195,0,the us cdc vaers system is now reporting to the end of january thousands of adverse reactions to cv jabs with   dead after receiving the jab        looks like its not that safe for the elderly  
196,0," says no to   explains

"
197,1,"all the antiindia cynics who called various names to covaxin mocked it called it  vaccine should now apologise to the nation  is found to be effective against all the different strains of  virus   

"
198,0,"pm narendra modi take the shot of  

but i will not take it because its not safe and it doesnt matter for me that many countries are praising it

                               a liberal ka choda

 
"
199,1,i give myself x a day for the last  years but these two shots are special  fully vaccinated    
200,0,   knocked me for six was ill for a week then fine for a week now all i want to do is sleep and that was ages i got it i had the  one
201,0," never thought id say this but i guess we now have something in common
i took  and tested positive a few weeks later "
202,0,just a small sampling of the many people reporting blood clots after their covid vaccine i see a trend here    
203,1,got that  second dose energy going on thanks  thanks   
204,0, days post st moderna shot  still feeling fatigued   
205,1,nd dose of  vaccine in the books i have never been so excited to get an injection in my life 
206,0," well the us shouldve listened to the us peoplewe didnt want johnsonamp johnson their products are unreliable and usually recalled their name is popular but theyre theyre merchandise is usually recalled or defective 
  
 j amp j"
207,0,"so you are saying that this  
 is made in  
yer nah sounds like everything that those  make fails or is below standard
tell  thanks but no thanks "
208,0,   i had mine yesterday and haveneet been able to get out of bed today  i feel for you  
209,1," getting my nd  dose on the rd

 
"
210,1,now to familiarise myself with astra zeneca vaccine before the mammoth week ahead it is so good to protect people and hopefully prevent hospitalised patients do one     
211,0,"   data based on m  first doses of the  vaccine and m doses of the  vaccine

deep vein thrombosis pfe  azn 
pulmonary embolism pfe  azn 
thrombocytopenia  pfe  azn 

yet the macronmerkel peddle azn fears
its manslaughter"
212,1,"we appreciate the efforts of sheikh abdullah bin zayed and all our leadership in launching the life sciences and vaccine manufacturing in the  project 
   "
213,1,am i the only one who cried when they booked their vaccine appointment    
214,0, the current   sucks i have been sick for  weeks shot  coming up yippee spike me with bad science again plz ocgn 
215,1, i get my nd  dose on april  
216,0,"  well done you guys

meanwhile figs for  

dont forget were under the strictest lockdown ever

plus   another   of all deaths in  days 

 of deaths post injection programme

 

  
  "
217,1,fully vaccinated  
218,0,got the  vaccine on thursday on friday my whole upper arm was visibly swollen had weird sharp pains all over the place sudden and swift headaches extremely drowsy today the swelling has gone down no sharp pains so far but still super lethargic
219,0,"update   

 hour   chills again not so bad
 hour   ear ache is continuing along with painful jaws  it hurts to chew
 hunger slowly increasing i might actually eat something soon

using  and  to minimize the symptoms"
220,0," its not a vaccination  its a dose of mrna chemicals which also carries the risk of deathpermanent side effects that bothers me 

in wales  of deaths happened since the injections commenced

 has neither death or harms associated with it

 "
221,1,"   

congrats to the amazing scientists who created   to end the  

       "
222,0,"yearold  dies after nd dose of   family 

 via "
223,0,"eeflagelin proteins include flagelin from salmonelaee

 

   encodes for a flagellum squiggly tail from salmonella species 

were we told that 

  

p 

  

 "
224,0,"   inefficacy may not cause any direct harm to the body but
 make the person fall prey to coronavirus because of personal negligence after injection 
 foreign countries may not recognise the jab as a health proof for international travels except to china
"
225,1,for me something  will do fine or a  with pfiz     
226,1,"what a shame inspite of efficacy results opposition states like kerala punjab and chhattisgarh refuse to use  this is insulting indiaees scientists for the sake of politics
 "
227,0, hours later  degree fever  
228,1,india gets third coronavirus vaccine  gets approval 
229,1,"hungary became the first eu country to receive chinaees sinopharm vaccine

    "
230,1,feel privileged to have received my first dose of the  covid vaccination at the very efficient  vaccination hub this evening 
231,1,first dose of  vaccine was a success miigwetch  and i love the new mask          
232,0,"referring  it as a vaccine is liesmisinfo

its not a vaccine 

its an experimental dnaaltering nanoparticle amp peg containing w ade nonlicensednonfda approved female infertilitycausing drug

         "
233,1,"the results evaluated by an independent data safety and monitoring board show that the vaccine  is welltolerated and efficacious against sarscov across a wide range of age groups and variants in the country  

 "
234,1,"         yes it is i agree sideeffects from vaccine are preferable to actual covid i didneet enjoy it when i was  positive

tomorrow itees shot   
hereees hoping my only sideeffects are arm pain "
235,0,i got my  yesterday amp i feel awful     
236,0,"russian woman after mrna  is very sick and terrified
"
237,1,"  icmr study shows  neutralises against multiple variants of sarscov amp effectively neutralises double mutant strain as well 
but covidiot  tried to malign 
    "
238,0,ek variant vs oxford  astrazeneca  vaccine useless  not much better than a placebo   why are you opening schools ek will spread fast and kill many more       
239,0,let  release  first  then we can consider this vaccine till then the vaccine needs to be treated on par with  
240,1,             in jan dgci granted  restricted use approval in clinical trial mode in march after phase  trials it was allowed restricted emergency use  do look at the difference between  approvals  citizens were fully in know with press release no controversy
241,0,now two hours after taking this picture i doneet know how i was able to raise my arm send help   
242,0,got my second dose of moderna yesterday and ieeve been on my death bed all day today  
243,0,    that got  stated on  after inspecting manufacturing facilitiesbrazilian regulator rejects indias covaxin it found lax quality controlsviolation of good manufacturing practices ampsafety issues that compromise sterility purityamp vaccine effectiveness
244,1,philippine president  has thanked  for donating a batch of the  covid vaccine  
245,0,"everybody is talking about  but what about  and  we have over  reported deaths at the vaccine adverse event reporting system 

"
246,1,just ran fastest  mile in over  years  days after having covid jab   
247,0," hours postndvax

still achy amp exhausted fever but lower than yesterday the lymph node above my left clavicle is still swollen amp painful and i woke up with swollen amp painful lymph nodes in my left armpit the nodes hurt worse than the injection site good times

  "
248,1,"thanks to great visionary dr  jee for the kind support to  

the pennsylvaniabased biopharmaceutical firm ocugen inc seeks to sell  million bharat biotechees covaxin doses in us in  

 "
249,1,"got scheduled for my fauci owchie this friday
the nice new mrna kind
seriously the tech behind this vaccine could go on to cure many many diseases 
alongside my fellow  im finally feeling 

"
250,0,"threat of covid still persists


           "
251,0,get vaccinated  recommended by leading androids      
252,0," please people i urge you to research this

look up syncytin for yourselves its in your swimmers its what makes the placenta pfizer vaccine has unknown fertility risks 

     

 "
253,0, need to fix messaging   in indian press reporting ella said he can modify covaxin in  days essentially saying not effective against sa variant thought we didnt know that yet  reuters reports same remarks differently as not pertaining to covaxin  which is it
254,1,"vaccination done successfully
st dose 
my mother take a vaccine today 
vaccine is safe 
  "
255,1,i have had the same excitement as kids have waiting for santa to come went to sleep early woke up before the alarm   for    
256,1,felling very privileged to have received the  vaccine today huge congratulations to all the teams  and  who have worked hard to ensure its speedy distribution now together letees put this thing to bed  
257,0,had my first vaccine yesterday and ieeve been up all night bad took me  hours to get out of my bed to put the heating on    itees time like this i never lived alone 
258,0,"  yep just guess who has bribed our governments more   

its all a sham no   has ever been proven safe in animal trials so to make sure these  got to market they skipped animal trials
 
"
259,1,got my jab today  amazing experience at the great yorkshire showground  in and out in  minutes  seconds  ieem so proud and grateful for those experts and volunteers who are making this possible and keeping us safe thank you     
260,0," changes genetic code as explained by top scientist 

"
261,0," nurse faints after getting pfizerbiontechees covid vaccine in us

       "
262,1,get  and  vaccines now in india the way the  is going we need the strongest and best vaccines for our people
263,0,"reminds us of what we already knew re  governments credibility

in this light how are we supposed regard  its pushing even while holding back data its clear handsoff unlessuntil  feels it can  has the data to approve it "
264,1," get my nd dose next week

qualified tier  thru  health oklahoma 

their system was the most efficient program ieeve have ever gone thru made an appt and a week later i was inregistration and shot only took  mins then observe for 
"
265,0,so we can connect bear spray to officer sicknicks death  days later but we cant connect the experimental gene therapy vaccine to any of the  deaths occuring  days later very sciency      
266,0, sold  vaccines to  which are different from vaccines used for  study says state institute for drug control after tests russia lied to us and sputnikv is just a propaganda and tool of hybrid warfare dont trust russia   
267,1,"how vaccines changed our 

most of us are lucky to have never seen these in real life
but older generations will remember prevaccine availability for killer diseases like smallpox amp polio an rna virus like covid

forbes

  "
268,1, hours after  dose  and ieem feeling great almost no arm soreness regained my taste and energy the feathers i grew have been a nice addition too   ieem kidding if anyone has any questions my dms are open please get your shot as soon as possible  
269,1,"thank you to the entire team including  staff and volunteers at the malvern showground where i got my  jab this morning
an incredibly efficient professional and friendly process
when you receive your invitation  
 "
270,1,"
come explore the lives of the geniuses behind the  this married couple struggled but have become  in our fight against          "
271,1," neutralizes against multiple variants of sarscov says indian council of medical research 
   "
272,1,our team are starting to receive their vaccinations against  thanks to the tremendous efforts of    amp    here is occupational therapist  receiving his first dose of   the sign of great things to come  
273,1, i got my first  yesterday at   
274,0,"mistrust in in british developed vaccine reached new highs as denmark banned  totally the very questionable vaccine will not be administered at all 
     "
275,0," yearold woman dead  minutes after   vaccine
march  "
276,0,"how many have to die

daniel thayne simpson a retired accountant who served in the navy during the korean war got his st dose of the  covid shot on 

the next day simpson  was dead


 

 
 

"
277,1," i am glad about getting  simply bc of the mrna approach in contrast to the approach of others
and it was my only choice lol but agreed you have more of a chance dying painfully and slowly with zero vaccine totally a chance i would take if thats what was offered"
278,1, embarrassing crimea russia everything is open business as usual ontario reporting  cases of   new cases in toronto  closed business church no family no hope  canada get out of syria   effective  
279,1,"had the nd     today 

so far so good "
280,0," is literally not enough to secure herd immunity for the world it is entirely selfish to be protect the profits of   and other pharmaceutical companies in the name of intellectual property 

no vaccines for most of the world no end to pandemic simple "
281,0,"a whole six months eh then what nah ieem nobodyees lab rat remember that big pharma doesneet make money off of healthy people and woneet be liable for any adverse reactions 
   "
282,1,"indian vaccine has the highest efficacy among all vaccine available in world   
 "
283,1, is working very effectively 
284,0, i had my st dose of   days ago due to my work nd one is  weeks later im not too happy about that seeing as all trials were based on  or  weeks apart but i do see what the gov are trying to do we could end up with everyone still vulnerable so well see
285,0,hahahahaha all big smiles i tell you  vlad  but they cant get a vaccin right without side effect or death like you did  hahahahahahaha clowns
286,1,uhoh tjp now equipped with g   
287,0,  nd dose ish hrs post vaccination mom s high risk has very little symptomsabout  step worse than her usual injection site is red swollen warm to the touch on the other hand it is kicking my s healthy butt low grade fever chills body aches 
288,1,"not the best beach day but a good day to get vaccinated by the beach

thank you dolly and science 

      "
289,1,   doing my part to stay healthy and safe for others still   thank you  for all that you do    planned parent hood 
290,1,waking up after one year of lockdowns with an slight ache in my arm so grateful to the       
